developer,success,total_reviews,average_playtime,review_score,num_games
Whiskeybarrel Studios,45.8,59.4,15.4,0.8270803372227707,5
Peace,45.5,94.875,153.375,0.46116013358173724,8
hOSHI,45.4,52.6,0.0,0.8749070840608631,5
NLB project,43.6,75.2,52.8,0.7769871429476217,5
Afterthought Studios,43.4,53.0,167.4,0.7473543123543124,5
Vidas Salavejus,43.0,66.14285714285714,25.142857142857142,0.6943374876539783,7
Xatrix Entertainment,42.857142857142854,54.57142857142857,4.571428571428571,0.7921055984246205,7
From Soy Sauce LLC,41.8,85.2,50.0,0.5961100121728545,5
EnsenaSoft,41.77142857142857,78.22857142857143,155.14285714285714,0.4736357342421357,35
Life Jumb DT,41.4,48.8,46.2,0.7172932330827068,5
FobTi interactive,40.6,52.0,66.2,0.8083475783475784,5
